"DataMessageGUID","SensorID","Sensor Name","Date","Formatted Value"
"9aad4182-56e7-49a6-ab7c-66994b843489","465974","Humidity - 465974","19-11-24 06:17","32.33% @ 27.1° C"
"5e73afca-67a8-499d-8031-409f0bf3e583","465974","Humidity - 465974","19-11-24 06:07","32.37% @ 27.1° C"
"bc9149e0-ddd2-4cc2-b946-02a1f76636d0","465974","Humidity - 465974","19-11-24 05:57","32.34% @ 27.1° C"
"29d8026e-8273-49ee-af56-0e154b7c0020","465974","Humidity - 465974","19-11-24 05:47","32.37% @ 27.1° C"
"956ef3d5-ea18-4e08-8cd0-72005603770a","465974","Humidity - 465974","19-11-24 05:37","32.34% @ 27.1° C"
"63809053-36d5-4da0-af2d-88a30fcfd5d3","465974","Humidity - 465974","19-11-24 05:27","32.37% @ 27.2° C"
"9547d83d-b92e-4971-a0fe-b748e834e88e","465974","Humidity - 465974","19-11-24 05:17","32.36% @ 27.2° C"
"5d6c5608-b951-4a19-96dd-94e5d91e0690","465974","Humidity - 465974","19-11-24 05:07","32.3% @ 27.2° C"
"58cc8b67-f49d-4d79-a4a9-079bda84827e","465974","Humidity - 465974","19-11-24 04:57","32.39% @ 27.2° C"
"bcae98d7-8808-4312-8716-612ec8f346e6","465974","Humidity - 465974","19-11-24 04:47","32.33% @ 27.2° C"
"b2369198-d4ab-4950-bf06-2c9db0508c80","465974","Humidity - 465974","19-11-24 04:37","32.39% @ 27.2° C"
"2cecf51d-15bb-460b-b21f-1f1b7f8a468e","465974","Humidity - 465974","19-11-24 04:27","32.35% @ 27.3° C"
"cb55280b-0bc2-41d8-9de5-d7ba447293fe","465974","Humidity - 465974","19-11-24 04:17","32.37% @ 27.3° C"
"b2e7d306-1770-487f-8e5d-6808d841c5d9","465974","Humidity - 465974","19-11-24 04:07","32.32% @ 27.3° C"
"41ca71a0-9a7c-4bb6-9f40-22faa8228fbc","465974","Humidity - 465974","19-11-24 03:57","32.37% @ 27.3° C"
"91a620da-83f8-4060-b45f-853ef1d2d1d2","465974","Humidity - 465974","19-11-24 03:47","32.43% @ 27.3° C"
"9e730797-b306-46a3-9b60-fc7d08391b5d","465974","Humidity - 465974","19-11-24 03:37","32.48% @ 27.4° C"
"bc57e99c-7d09-4f3b-b9f1-a4000a9bc1ae","465974","Humidity - 465974","19-11-24 03:27","32.5% @ 27.4° C"
"1a292c8a-b1a5-4c01-8584-719312c56dd6","465974","Humidity - 465974","19-11-24 03:17","32.47% @ 27.4° C"
"8b2463a5-fa94-42df-b02d-8e8e14cdfbbc","465974","Humidity - 465974","19-11-24 03:07","32.55% @ 27.4° C"
"6ad73c9e-f22c-4847-802b-622809feb8b3","465974","Humidity - 465974","19-11-24 02:57","32.55% @ 27.4° C"
"3c257030-c456-4022-8b19-f045cdc14d47","465974","Humidity - 465974","19-11-24 02:47","32.59% @ 27.5° C"
"133622f3-7fe7-4c11-a796-570bbd719525","465974","Humidity - 465974","19-11-24 02:37","32.6% @ 27.5° C"
"4d1122d2-e20a-4a59-93ec-ea4af28165e7","465974","Humidity - 465974","19-11-24 02:27","32.7% @ 27.5° C"
"236e804f-201e-45e3-858c-7d0245bab16d","465974","Humidity - 465974","19-11-24 02:17","32.72% @ 27.5° C"
"8de5fd6b-87e6-4c7d-b57e-ace0f68db018","465974","Humidity - 465974","19-11-24 02:07","32.73% @ 27.5° C"
"c6861dbf-52fc-4bf8-8045-14b98f9dd29d","465974","Humidity - 465974","19-11-24 01:57","32.82% @ 27.5° C"
"926f696a-b3cb-47d8-9b82-61ec4797b076","465974","Humidity - 465974","19-11-24 01:47","32.88% @ 27.5° C"
"64312213-36a5-41c8-bd8d-6bc8361afb76","465974","Humidity - 465974","19-11-24 01:37","32.96% @ 27.6° C"
"37c7541a-7aa3-49b8-b4e3-c1b72575e725","465974","Humidity - 465974","19-11-24 01:27","33.06% @ 27.6° C"
"811c1923-b5cc-43c7-9b89-a70d4d9b5aa1","465974","Humidity - 465974","19-11-24 01:17","33.11% @ 27.6° C"
"6b5b9d3a-2b9c-43d9-b527-b9ffbf66548c","465974","Humidity - 465974","19-11-24 01:07","33.14% @ 27.6° C"
"37d76fff-f7cf-4ed5-9767-5d3fd791f877","465974","Humidity - 465974","19-11-24 00:57","33.24% @ 27.6° C"
"a0f8b0db-3038-4bba-8c35-39361cebb44a","465974","Humidity - 465974","19-11-24 00:47","33.38% @ 27.7° C"
"66aea2c6-7960-4d48-a8b5-63c8a5daefef","465974","Humidity - 465974","19-11-24 00:37","33.4% @ 27.7° C"
"a7e38a91-f05b-4d80-b123-5e491f04866c","465974","Humidity - 465974","19-11-24 00:27","33.53% @ 27.7° C"
